jg,ybfsx_wk,ebfsx_wk,ssmzlqf_wk,hzlqf_wk,ybfsx_lk,ebfsx_lk,ssmzlqf_lk,hzlqf_lk
湖北      ,561,514,568,568,551,492,558,558
广西       ,544,473,549,557,528,444,531,532
湖南      ,571,523,565,568,520,451,495,510
贵州       ,539,461,530,531,470,390,455,456
河南       ,557,509,557,562,540,481,540,546
云南       ,520,460,533,535,465,460,298,298
内蒙古      ,492,429,484,493,469,390,437,458
重庆      ,554,494,495,510,522,462,462,467
安徽       ,577,541,562,578,544,478,496,539
山东       ,573,450,517,540,582,430,496,511
福建       ,557,466,465,547,546,435,489,528
江西      ,570,523,523,565,547,486,487,531
江苏       ,341,311,313,311,340,312,314,314
四川       ,516,454,460,483,518,445,446,475
青海       ,433,372,390,396,401,355,356,375
海南       ,668,591,651,656,614,545,581,592
浙江       ,606,452,504,529,593,433,480,504
武汉        ,561,541,565,551,551,492,556,556
辽宁        ,563,506,507,531,517,445,445,465
河北        ,572,529,545,565,564,509,539,558
宁夏        ,489,453,467,467,440,401,409,409
吉林        ,529,435,491,501,515,412,420,415
新疆        ,493,426,437,437,445,390,408,408
陕西        ,556,497,501,530,517,461,467,481
甘肃        ,533,485,471,504,517,462,460,470
山西        ,539,492,493,522,530,476,487,487
黑龙江       ,526,449,463,499,514,425,434,434
广东        ,589,545,567,567,585,523,550,547
西藏        ,490,345,333,333,280,242,298,298
内地新疆      ,493,426,518,513,445,390,461,464
内地西藏      ,490,345,333,333,460,325,460,460
上海        ,438,379,385,381,423,342,348,356
北京        ,495,446,449,430,477,433,414,429
天津         ,549,489,516,489,530,440,441,431
