省份代码,所属省份,城市名称,行政级别,城市编码
11,北京市,北京市,1,1100
12,天津市,天津市,1,1200
13,河北省,石家庄市,2,1301
13,河北省,唐山市,3,1302
13,河北省,秦皇岛市,3,1303
13,河北省,邯郸市,3,1304
13,河北省,邢台市,3,1305
13,河北省,保定市,3,1306
13,河北省,张家口市,3,1307
13,河北省,承德市,3,1308
13,河北省,沧州市,3,1309
13,河北省,廊坊市,3,1310
13,河北省,衡水市,3,1311
14,山西省,太原市,2,1401
14,山西省,大同市,3,1402
14,山西省,阳泉市,3,1403
14,山西省,长治市,3,1404
14,山西省,晋城市,3,1405
14,山西省,朔州市,3,1406
14,山西省,晋中市,3,1407
14,山西省,运城市,3,1408
14,山西省,忻州市,3,1409
14,山西省,临汾市,3,1410
14,山西省,吕梁市,3,1411
15,内蒙古自治区,呼和浩特市,2,1501
15,内蒙古自治区,包头市,3,1502
15,内蒙古自治区,乌海市,3,1503
15,内蒙古自治区,赤峰市,3,1504
15,内蒙古自治区,通辽市,3,1505
15,内蒙古自治区,鄂尔多斯市,3,1506
15,内蒙古自治区,呼伦贝尔市,3,1507
15,内蒙古自治区,巴彦淖尔市,3,1508
15,内蒙古自治区,乌兰察布市,3,1509
15,内蒙古自治区,兴安盟,3,1522
15,内蒙古自治区,锡林郭勒盟,3,1525
15,内蒙古自治区,阿拉善盟,3,1529
21,辽宁省,沈阳市,2,2101
21,辽宁省,大连市,3,2102
21,辽宁省,鞍山市,3,2103
21,辽宁省,抚顺市,3,2104
21,辽宁省,本溪市,3,2105
21,辽宁省,丹东市,3,2106
21,辽宁省,锦州市,3,2107
21,辽宁省,营口市,3,2108
21,辽宁省,阜新市,3,2109
21,辽宁省,辽阳市,3,2110
21,辽宁省,盘锦市,3,2111
21,辽宁省,铁岭市,3,2112
21,辽宁省,朝阳市,3,2113
21,辽宁省,葫芦岛市,3,2114
22,吉林省,长春市,2,2201
22,吉林省,吉林市,3,2202
22,吉林省,四平市,3,2203
22,吉林省,辽源市,3,2204
22,吉林省,通化市,3,2205
22,吉林省,白山市,3,2206
22,吉林省,松原市,3,2207
22,吉林省,白城市,3,2208
22,吉林省,延边朝鲜族自治州,3,2224
23,黑龙江省,哈尔滨市,2,2301
23,黑龙江省,齐齐哈尔市,3,2302
23,黑龙江省,鸡西市,3,2303
23,黑龙江省,鹤岗市,3,2304
23,黑龙江省,双鸭山市,3,2305
23,黑龙江省,大庆市,3,2306
23,黑龙江省,伊春市,3,2307
23,黑龙江省,佳木斯市,3,2308
23,黑龙江省,七台河市,3,2309
23,黑龙江省,牡丹江市,3,2310
23,黑龙江省,黑河市,3,2311
23,黑龙江省,绥化市,3,2312
23,黑龙江省,大兴安岭地区,3,2327
31,上海市,上海市,1,3100
32,江苏省,南京市,2,3201
32,江苏省,无锡市,3,3202
32,江苏省,徐州市,3,3203
32,江苏省,常州市,3,3204
32,江苏省,苏州市,3,3205
32,江苏省,南通市,3,3206
32,江苏省,连云港市,3,3207
32,江苏省,淮安市,3,3208
32,江苏省,盐城市,3,3209
32,江苏省,扬州市,3,3210
32,江苏省,镇江市,3,3211
32,江苏省,泰州市,3,3212
32,江苏省,宿迁市,3,3213
33,浙江省,杭州市,2,3301
33,浙江省,宁波市,3,3302
33,浙江省,温州市,3,3303
33,浙江省,嘉兴市,3,3304
33,浙江省,湖州市,3,3305
33,浙江省,绍兴市,3,3306
33,浙江省,金华市,3,3307
33,浙江省,衢州市,3,3308
33,浙江省,舟山市,3,3309
33,浙江省,台州市,3,3310
33,浙江省,丽水市,3,3311
34,安徽省,合肥市,2,3401
34,安徽省,芜湖市,3,3402
34,安徽省,蚌埠市,3,3403
34,安徽省,淮南市,3,3404
34,安徽省,马鞍山市,3,3405
34,安徽省,淮北市,3,3406
34,安徽省,铜陵市,3,3407
34,安徽省,安庆市,3,3408
34,安徽省,黄山市,3,3410
