xh,jyzk
2012213477,1
2012210001,1
2012215888,1
2012210003,0
2012210257,1
2012212386,1
2012211599,1
2012210007,1
2012214832,1
2012214759,1
2012210010,1
2012210011,1
2012210012,1
2012210013,1
2012211241,1
2012210016,1
2012210017,1
2012210126,1
2012210019,1
2012210020,0
2012212041,1
2012210425,1
2012210023,1
2012210025,1
2012210026,1
2012212578,1
2012210028,0
2012210004,1
2012210034,1
2012210036,0
2012210037,1
2012210038,0
2012210039,1
2012215963,1
2012210042,1
2012210043,0
2012214685,1
2012213327,1
2012210894,1
2012214077,1
2012213211,1
2012210050,1
2012210051,0
2012214040,1
2012210053,0
2012210054,1
2012210055,0
2012210056,1
2012210058,1
2012210059,1
2012213777,1
2012210062,0
2012214989,1
2012210065,1
2012212959,1
2012210068,1
2012210069,0
2012211257,1
2012210071,1
2012210072,0
2012210073,1
2012213795,1
2012210075,0
2012210076,1
2012210079,0
2012213798,1
2012210081,1
2012214798,1
2012210083,1
2012210247,1
2012210085,0
2012210086,1
2012212581,1
2012210088,0
2012210089,1
2012214518,1
2012210091,0
2012210092,0
2012212898,1
2012214405,1
2012210095,1
2012210096,0
2012210097,0
2012210098,1
2012210100,0
2012210101,1
2012212811,1
2012215458,1
2012210104,1
2012210105,1
2012210106,1
2012210107,1
2012215953,1
2012213421,1
2012210436,1
2012210112,1
2012210589,1
2012211037,1
2012210115,0
2012215976,1
2012213062,1
2012210118,1
2012210119,0
2012210120,0
2012210121,0
2012210122,1
2012210123,0
2012210124,0
2012210125,1
2012213607,1
2012210127,0
2012210128,0
2012210129,1
2012210130,1
2012210131,1
2012210132,1
2012210134,1
2012210135,1
2012210136,0
2012210137,0
2012210138,0
2012214695,1
2012211477,1
2012210141,1
2012210142,1
2012210143,1
2012211526,1
2012210145,1
2012213959,1
2012210147,0
2012214434,1
2012210149,1
2012211492,1
2012210151,0
2012210152,0
2012210153,0
2012210154,1
2012210155,1
2012210156,0
2012215316,1
2012213723,1
2012210159,1
2012210856,1
2012210465,1
2012210162,1
2012210611,1
2012212577,1
2012210165,1
2012213343,1
2012210167,1
2012210168,1
2012210169,1
2012213340,1
2012210171,1
2012210172,0
2012210173,0
2012210175,1
2012210176,1
2012213415,1
2012210178,0
2012213823,1
2012210180,1
2012210181,1
2012210182,1
2012210183,1
2012210184,1
2012210185,1
2012211824,1
2012215987,1
2012210188,1
2012210189,1
2012213425,1
2012210192,0
2012210193,1
2012213437,1
2012210195,0
2012214282,1
2012210197,1
2012210198,1
2012210199,0
2012210200,0
2012210201,0
2012210202,0
2012210203,1
2012211564,1
2012210206,1
2012210207,1
2012210208,1
2012210209,1
2012210210,0
2012210211,0
2012210212,1
2012210550,1
2012210214,1
2012210215,0
2012210216,0
2012210217,0
2012210218,1
2012210219,0
2012213622,1
2012210221,0
2012210222,0
2012210223,0
2012215713,1
2012210225,1
2012210227,1
2012210228,0
2012210229,1
2012214325,1
2012210231,0
2012210232,0
2012210781,1
2012210234,1
2012210235,1
2012210236,0
2012213212,1
2012210238,0
2012210240,1
2012210241,1
2012210243,1
2012210244,1
2012210246,1
2012212029,1
2012210681,1
2012210249,1
2012210250,1
2012210251,0
2012210252,0
2012210253,1
2012210254,1
2012213628,1
2012210256,1
2012212882,1
2012210258,0
2012210259,1
2012210260,1
2012212982,1
2012210262,1
2012215812,1
2012214485,1
2012210265,1
2012211118,1
2012211041,1
2012210268,1
2012210269,0
2012210270,0
