sno,jyzk
2012214407,1
2012215891,1
2012210206,1
2012213186,1
2012210577,1
2012213712,1
2012215539,1
2012211170,1
2012213962,0
2012214504,0
2012213953,1
2012212018,1
2012212775,1
2012212561,1
2012213093,1
2012214378,1
2012214050,1
2012214321,1
2012210382,0
2012210643,1
2012214658,1
2012214117,1
2012212998,1
2012214771,1
2012215230,1
2012212812,1
2012212017,1
2012214155,1
2012214161,1
2012210723,0
2012215201,1
2012211888,1
2012214235,1
2012211811,0
2012214290,1
2012212602,1
2012214776,1
2012213372,1
2012214365,1
2012212429,1
2012212837,1
2012212567,1
2012214044,0
2012215723,1
2012210032,0
2012212784,1
2012211456,0
2012215199,1
2012210608,1
2012212324,0
2012212599,0
2012215078,1
2012211195,1
2012213142,1
2012211957,1
2012215073,1
2012213273,1
2012215884,1
2012215156,1
2012212673,0
2012210201,1
2012211991,1
2012215547,1
2012214630,0
2012215601,1
2012215927,1
2012214981,1
2012215766,1
2012210556,0
2012212713,0
2012210044,1
2012214346,1
2012211631,1
2012212689,1
2012214394,1
2012210209,1
2012214281,1
2012213207,1
2012210397,1
2012213279,1
2012214935,1
2012211702,0
2012215793,1
2012215715,1
2012211654,1
2012211386,0
2012213269,1
2012215302,1
2012210219,0
2012212690,0
2012212226,1
2012212345,0
2012215921,1
2012211148,1
2012212968,1
2012212026,1
2012212154,1
2012212849,1
2012212651,1
2012215009,1
2012210237,1
2012212065,1
2012215464,1
2012211471,1
2012214263,1
2012212499,1
2012215901,1
2012212805,1
2012215022,1
2012211332,1
2012210713,1
2012210337,1
2012215105,1
2012211677,1
2012213027,0
2012213409,1
2012212938,1
2012212700,1
2012212284,1
2012212516,1
2012212450,1
2012213246,1
2012213522,1
2012213486,1
2012211831,1
2012215148,1
2012211604,1
2012211201,1
2012215083,1
2012215008,1
2012213819,1
2012215634,1
2012215120,1
2012215326,1
2012212545,1
2012213234,0
2012213301,1
2012210796,1
2012215210,1
2012210840,1
2012213573,1
2012211847,0
2012215364,1
2012212668,1
2012214960,1
2012214198,1
2012213112,1
2012212325,1
2012211797,1
2012213554,1
2012210058,0
2012215085,1
2012211984,1
2012210816,1
2012213480,1
2012213136,1
2012214927,1
2012211745,1
2012211438,1
2012210513,1
2012214344,1
2012213517,1
2012213822,0
2012212909,1
2012211199,1
2012215386,0
2012214350,1
2012214761,1
2012212718,0
2012212246,1
2012214444,0
2012213624,1
2012211504,1
2012215911,1
2012213604,1
2012212936,1
2012210576,1
2012212915,1
2012211520,1
2012210636,0
2012210378,0
2012214968,0
2012215068,1
2012214593,1
2012214625,1
2012214422,0
2012210696,1
2012213766,1
2012213012,1
2012212542,0
2012213463,1
2012214170,1
2012212397,1
2012213382,1
2012213448,1
2012212691,1
2012212292,0
2012214733,1
2012214041,0
2012210211,1
2012214699,1
2012213491,1
2012215041,1
2012215596,1
2012210543,1
2012215672,1
2012212228,1
2012214655,1
2012215850,1
2012210297,1
2012214086,1
2012211652,1
2012212897,1
2012213719,1
2012214962,1
2012215795,1
2012212799,1
2012210347,1
2012212202,1
2012211474,1
2012210988,1
2012215094,0
2012215196,1
2012214020,0
2012213031,1
2012211158,1
2012214368,1
2012211182,1
2012212840,1
2012215954,1
2012213421,1
2012214841,0
2012213328,1
2012214716,1
2012212710,1
2012213134,0
2012211467,1
2012214674,1
2012215557,1
2012214848,1
2012211451,1
2012211561,1
2012213670,1
2012212777,1
2012210242,1
2012213951,1
2012215676,1
2012212171,1
2012212207,1
2012212148,1
2012215262,1
2012211813,1
2012215411,1
2012214915,1
2012211485,0
2012214460,1
2012212062,1
2012214401,0
2012215830,1
2012215067,1
2012213865,1
2012210082,1
2012210550,1
2012211588,1
2012211097,1
2012211258,1
2012210717,1
2012214270,1
2012214355,1
2012211153,1
2012210342,0
2012215417,1
2012213410,1
2012215862,1
2012212831,0
2012211570,1
2012214786,1
2012210147,1
2012213646,1
2012212204,1
2012214066,0
2012212900,1
2012210628,0
2012214890,1
2012213074,1
2012211929,1
2012212770,1
2012210169,1
2012213121,1
2012211449,1
2012212800,1
2012214855,1
2012215109,1
2012212215,1
2012213003,1
2012210701,0
2012213092,0
2012211145,1
2012211626,1
2012211942,0
2012211269,0
2012210307,1
2012215002,1
2012215867,1
2012215254,1
2012211805,1
2012210109,1
2012210317,1
2012213022,1
2012213596,1
2012210200,0
2012214057,1
2012212187,1
2012215462,1
2012211441,1
2012214077,1
2012210849,1
2012212767,1
2012215785,1
2012214976,1
2012214246,0
2012210741,1
2012215889,0
2012212922,1
2012211409,1
2012210480,1
2012215572,1
2012215298,1
2012211142,1
2012215571,1
2012213005,0
2012214795,1
2012211237,1
2012214572,1
2012213994,1
2012211484,1
2012213141,1
2012213970,0
2012211857,1
2012210767,0
2012211541,1
2012212029,0
2012211573,1
2012211785,1
2012212390,1
2012214416,0
2012214331,1
2012213675,1
2012210098,0
2012210343,1
2012214413,1
2012213567,1
2012212803,1
2012210156,1
2012214027,0
2012213909,1
2012212471,1
