sno,zf,tdf,female,male,ncyj,ncwj,czyj,czwj,ks_is_jf,jydf,csdm,kslb,kldm,csdj,is_qu,is_shi,is_xian,ybfsx_wk,ebfsx_wk,ssmzlqf_wk,hzlqf_wk,ybfsx_lk,ebfsx_lk,ssmzlqf_lk,hzlqf_lk,zfdj,zf_yb_d,zf_lqf_d,zf_pjf_d,zybm,xybm,zy_fs_pm
2012210001,533,533,1,0,0,0,0,1,1,0.772,1408,1,1,4.0,1,0,0,539,492,493,522,530,476,487,487,2,-6.0,11,15,4,8,71.0
2012210002,484,494,1,0,0,0,1,0,0,0.759,1523,1,5,4.0,1,0,0,492,429,484,493,469,390,437,458,3,15.0,47,-34,4,8,11.0
2012210003,520,520,1,0,0,0,1,0,1,0.766,2202,1,1,3.0,1,0,0,529,435,491,501,515,412,420,415,1,-9.0,19,2,4,8,38.0
2012210004,578,578,1,0,0,0,0,1,1,0.652,3422,1,1,6.0,0,0,1,577,541,562,578,544,478,496,539,1,1.0,0,60,4,8,215.0
2012210005,566,566,1,0,0,0,0,1,1,0.735,3610,1,1,4.0,0,0,1,570,523,523,565,547,486,487,531,3,-4.0,1,48,4,8,161.0
2012210006,574,574,1,0,0,1,0,0,1,0.752,4117,1,1,4.0,1,0,0,557,509,557,562,540,481,540,546,1,17.0,12,56,4,8,63.0
2012210007,567,567,1,0,1,0,0,0,1,0.766,4201,1,5,1.0,1,0,0,561,514,568,568,551,492,558,558,1,16.0,9,49,4,8,82.0
2012210008,570,570,1,0,1,0,0,0,1,0.766,4206,1,5,5.0,0,0,1,561,514,568,568,551,492,558,558,1,19.0,12,52,4,8,63.0
2012210009,573,573,1,0,0,0,1,0,1,0.766,4203,1,1,4.0,1,0,0,561,514,568,568,551,492,558,558,1,12.0,5,55,4,8,113.0
2012210010,566,566,1,0,0,0,1,0,1,0.8,4201,1,1,1.0,1,0,0,561,541,565,551,551,492,556,556,1,5.0,15,48,4,8,49.0
2012210011,570,570,1,0,0,0,1,0,1,0.727,4307,1,1,4.0,1,0,0,571,523,565,568,520,451,495,510,1,-1.0,2,52,4,8,154.0
2012210012,560,570,1,0,0,1,0,0,0,0.727,4305,1,1,4.0,0,0,1,571,523,565,568,520,451,495,510,3,-11.0,-5,42,4,8,227.0
2012210013,579,579,1,0,0,0,1,0,1,0.8,4401,2,0,1.0,0,0,1,589,545,567,567,585,523,550,547,5,0.0,0,61,4,8,215.0
2012210014,546,546,1,0,0,0,1,0,1,0.686,4502,1,5,3.0,0,0,1,544,473,549,557,528,444,531,532,1,18.0,14,28,4,8,54.0
2012210015,546,553,1,0,1,0,0,0,0,0.686,4501,1,5,2.0,0,0,1,544,473,549,557,528,444,531,532,3,18.0,15,28,4,8,49.0
2012210016,569,589,1,0,1,0,0,0,0,0.686,4509,1,1,4.0,1,0,0,544,473,549,557,528,444,531,532,1,25.0,20,51,4,8,36.0
2012210017,0,0,1,0,0,0,1,0,1,0.683,4613,1,1,0.0,0,0,1,668,591,651,656,614,545,581,592,4,0.0,0,0,4,8,215.0
2012210018,499,499,1,0,1,0,0,0,1,0.73,5107,1,2,3.0,1,0,0,516,454,460,483,518,445,446,475,5,0.0,0,-19,4,8,215.0
2012210019,0,0,1,0,0,0,1,0,1,0.604,5221,1,5,6.0,0,0,1,539,461,530,531,470,390,455,456,4,0.0,0,0,4,8,215.0
2012210020,556,556,1,0,1,0,0,0,1,0.574,5321,1,1,5.0,1,0,0,520,460,533,535,465,460,298,298,2,36.0,21,38,4,8,34.0
2012210021,533,553,1,0,1,0,0,0,0,0.574,5332,1,1,4.0,0,0,1,520,460,533,535,465,460,298,298,3,13.0,0,15,4,8,215.0
2012210022,519,519,1,0,0,0,1,0,1,0.683,6227,1,1,5.0,0,0,1,533,485,471,504,517,462,460,470,3,-14.0,48,1,4,8,10.0
2012210023,0,0,1,0,0,0,1,0,1,0.653,6529,5,1,5.0,0,0,1,493,426,437,437,445,390,408,408,4,0.0,0,0,4,8,215.0
2012210024,498,498,0,1,0,0,1,0,1,0.759,1502,1,3,3.0,1,0,0,492,429,484,493,469,390,437,458,5,0.0,0,-20,4,8,215.0
2012210025,0,559,0,1,0,0,1,0,0,0.981,3309,1,1,3.0,0,0,1,606,452,504,529,593,433,480,504,4,0.0,0,0,4,8,215.0
2012210026,544,554,0,1,1,0,0,0,0,0.86,3505,1,1,2.0,0,1,0,557,466,465,547,546,435,489,528,3,-13.0,79,26,4,8,6.0
2012210027,568,568,0,1,1,0,0,0,1,0.752,4116,1,1,4.0,0,0,1,557,509,557,562,540,481,540,546,1,11.0,6,50,4,8,103.0
2012210028,571,571,0,1,0,0,1,0,1,0.766,4201,1,1,1.0,1,0,0,561,514,568,568,551,492,558,558,1,10.0,3,53,4,8,143.0
2012210029,513,513,0,1,1,0,0,0,1,0.727,4301,1,5,1.0,1,0,0,571,523,565,568,520,451,495,510,3,-7.0,3,-5,4,8,143.0
2012210030,580,580,0,1,0,0,1,0,1,0.8,4406,2,0,2.0,0,0,1,589,545,567,567,585,523,550,547,5,0.0,0,62,4,8,215.0
2012210031,556,576,0,1,1,0,0,0,0,0.686,4513,1,1,5.0,0,0,1,544,473,549,557,528,444,531,532,1,12.0,7,38,4,8,99.0
2012210032,517,537,0,1,1,0,0,0,0,0.604,5226,1,1,4.0,0,0,1,539,461,530,531,470,390,455,456,3,-22.0,-13,-1,4,8,248.0
2012210033,296,306,0,1,1,0,0,0,0,0.448,5423,1,5,5.0,1,0,0,490,345,333,333,280,242,298,298,3,16.0,-2,-222,4,8,218.0
2012210034,0,0,0,1,0,0,1,0,1,0.653,6528,5,1,5.0,0,0,1,493,426,437,437,445,390,408,408,4,0.0,0,0,4,8,215.0
2012210035,532,532,1,0,0,0,0,1,1,0.772,1402,1,1,4.0,1,0,0,539,492,493,522,530,476,487,487,1,-7.0,10,14,4,8,78.0
2012210036,496,506,1,0,1,0,0,0,0,0.759,1523,1,1,4.0,0,0,1,492,429,484,493,469,390,437,458,1,4.0,12,-22,4,8,63.0
2012210037,0,0,1,0,0,0,1,0,1,0.766,2203,1,1,4.0,0,0,1,529,435,491,501,515,412,420,415,4,0.0,0,0,4,8,215.0
2012210038,569,574,1,0,0,0,1,0,0,0.652,3401,1,1,2.0,1,0,0,577,541,562,578,544,478,496,539,1,-8.0,7,51,4,8,99.0
2012210039,567,567,1,0,0,0,1,0,1,0.735,3650,1,1,4.0,0,0,1,570,523,523,565,547,486,487,531,1,-3.0,2,49,4,8,154.0
2012210040,549,549,1,0,0,0,1,0,1,0.752,4113,1,5,3.0,0,1,0,557,509,557,562,540,481,540,546,3,9.0,3,31,4,8,143.0
2012210041,567,567,1,0,1,0,0,0,1,0.766,4201,1,5,1.0,1,0,0,561,514,568,568,551,492,558,558,1,16.0,9,49,4,8,82.0
